,Bitcoin,SnP 500
2021-04-29,53555.109375,4211.47021484375
2021-04-30,57750.17578125,4181.169921875
2021-05-01,57828.05078125,
2021-05-02,56631.078125,
2021-05-03,57200.29296875,4192.66015625
2021-05-04,53333.5390625,4164.66015625
2021-05-05,57424.0078125,4167.58984375
2021-05-06,56396.515625,4201.6201171875
2021-05-07,57356.40234375,4232.60009765625
2021-05-08,58803.77734375,
2021-05-09,58232.31640625,
2021-05-10,55859.796875,4188.43017578125
2021-05-11,56704.57421875,4152.10009765625
2021-05-12,49150.53515625,4063.0400390625
2021-05-13,49716.19140625,4112.5
2021-05-14,49880.53515625,4173.85009765625
2021-05-15,46760.1875,
2021-05-16,46456.05859375,
2021-05-17,43537.51171875,4163.2900390625
2021-05-18,42909.40234375,4127.830078125
2021-05-19,37002.44140625,4115.68017578125
2021-05-20,40782.73828125,4159.1201171875
2021-05-21,37304.69140625,4155.85986328125
2021-05-22,37536.6328125,
2021-05-23,34770.58203125,
2021-05-24,38705.98046875,4197.0498046875
2021-05-25,38402.22265625,4188.1298828125
2021-05-26,39294.19921875,4195.990234375
2021-05-27,38436.96875,4200.8798828125
2021-05-28,35697.60546875,4204.10986328125
2021-05-29,34616.06640625,
2021-05-30,35678.12890625,
2021-05-31,37332.85546875,
2021-06-01,36684.92578125,4202.0400390625
2021-06-02,37575.1796875,4208.1201171875
2021-06-03,39208.765625,4192.85009765625
2021-06-04,36894.40625,4229.89013671875
2021-06-05,35551.95703125,
2021-06-06,35862.37890625,
2021-06-07,33560.70703125,4226.52001953125
2021-06-08,33472.6328125,4227.259765625
2021-06-09,37345.12109375,4219.5498046875
2021-06-10,36702.59765625,4239.18017578125
2021-06-11,37334.3984375,4247.43994140625
2021-06-12,35552.515625,
2021-06-13,39097.859375,
2021-06-14,40218.4765625,4255.14990234375
2021-06-15,40406.26953125,4246.58984375
2021-06-16,38347.0625,4223.7001953125
2021-06-17,38053.50390625,4221.85986328125
2021-06-18,35787.24609375,4166.4501953125
2021-06-19,35615.87109375,
2021-06-20,35698.296875,
2021-06-21,31676.693359375,4224.7900390625
2021-06-22,32505.66015625,4246.43994140625
2021-06-23,33723.02734375,4241.83984375
2021-06-24,34662.4375,4266.490234375
2021-06-25,31637.779296875,4280.7001953125
2021-06-26,32186.27734375,
2021-06-27,34649.64453125,
2021-06-28,34434.3359375,4290.60986328125
2021-06-29,35867.77734375,4291.7998046875
2021-06-30,35040.8359375,4297.5
2021-07-01,33572.1171875,4319.93994140625
2021-07-02,33897.046875,4352.33984375
2021-07-03,34668.546875,
2021-07-04,35287.78125,
2021-07-05,33746.00390625,
2021-07-06,34235.1953125,4343.5400390625
2021-07-07,33855.328125,4358.1298828125
2021-07-08,32877.37109375,4320.81982421875
2021-07-09,33798.01171875,4369.5498046875
2021-07-10,33520.51953125,
2021-07-11,34240.1875,
2021-07-12,33155.84765625,4384.6298828125
2021-07-13,32702.025390625,4369.2099609375
2021-07-14,32822.34765625,4374.2998046875
2021-07-15,31780.73046875,4360.02978515625
2021-07-16,31421.5390625,4327.16015625
2021-07-17,31533.068359375,
2021-07-18,31796.810546875,
2021-07-19,30817.83203125,4258.490234375
2021-07-20,29807.34765625,4323.06005859375
2021-07-21,32110.693359375,4358.68994140625
2021-07-22,32313.10546875,4367.47998046875
2021-07-23,33581.55078125,4411.7900390625
2021-07-24,34292.4453125,
2021-07-25,35350.1875,
2021-07-26,37337.53515625,4422.2998046875
2021-07-27,39406.94140625,4401.4599609375
2021-07-28,39995.90625,4400.64013671875
2021-07-29,40008.421875,4419.14990234375
2021-07-30,42235.546875,4395.259765625
2021-07-31,41626.1953125,
2021-08-01,39974.89453125,
2021-08-02,39201.9453125,4387.16015625
2021-08-03,38152.98046875,4423.14990234375
2021-08-04,39747.50390625,4402.66015625
2021-08-05,40869.5546875,4429.10009765625
2021-08-06,42816.5,4436.52001953125
2021-08-07,44555.80078125,
2021-08-08,43798.1171875,
2021-08-09,46365.40234375,4432.35009765625
2021-08-10,45585.03125,4436.75
2021-08-11,45593.63671875,4442.41015625
2021-08-12,44428.2890625,4460.830078125
2021-08-13,47793.3203125,4468.0
2021-08-14,47096.9453125,
2021-08-15,47047.00390625,
2021-08-16,46004.484375,4479.7099609375
2021-08-17,44695.359375,4448.080078125
2021-08-18,44801.1875,4400.27001953125
2021-08-19,46717.578125,4405.7998046875
